gene,tractability_score,novelty_score,ot_sm_approved_drug,ot_sm_druggable_family,ot_sm_hq_pocket,ot_sm_struct_ligand,ot_drug_count,dgidb_n_drugs,dgidb_n_approved_drugs,chembl_target_id,chembl_n_potent,chembl_action_types,has_inhibitor_moa,uniprot_acc,uniprot_kinase,uniprot_enzyme,uniprot_membrane,uniprot_loc
RAB1A,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
CDK2,1.0,0.0,False,True,True,True,14,117,9,CHEMBL301,2409,INHIBITOR,True,P24941,True,True,False,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Nucleus, Cajal body;Cytoplasm"
SPCS2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
ELAC2,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
GPR61,0.45,1.0,False,True,False,True,0,1,0,,0,,False,,False,False,False,
GRB2,0.8,0.0,False,False,True,True,1,4,1,CHEMBL3663,204,,False,P62993,False,False,False,Nucleus;Cytoplasm;Endosome
ODR4,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
ZNHIT3,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
ELAVL1,0.55,1.0,False,True,False,False,0,2,0,,0,,False,,False,False,False,
UBA5,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
EGLN1,1.0,0.0,True,True,False,True,5,15,3,CHEMBL5697,1773,INHIBITOR,True,Q9GZT9,False,True,False,Cytoplasm;Nucleus
SRF,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
RPS17,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6066972,0,,False,P08708,False,False,False,"Cytoplasm;Nucleus, nucleolus"
CCT3,0.25,0.0,False,False,False,True,0,2,2,CHEMBL6066171,2,,False,P49368,False,True,False,Cytoplasm
RAC1,0.6,0.0,False,False,True,True,0,9,3,CHEMBL6094,5,,False,P63000,False,True,True,Cell membrane;Melanosome;Cytoplasm
EXT1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
LSM6,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
E2F3,0.0,0.5,False,False,False,False,1,1,0,,0,,False,O00716,False,False,False,Nucleus
MZT2A,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
NELFA,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
PPP1CB,0.0,1.0,False,False,False,False,0,2,0,,0,,False,,False,False,False,
KDM8,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
TAF1D,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TIMM10,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
USP36,0.45,0.0,False,False,False,True,0,2,2,CHEMBL4630861,30,,False,Q9P275,False,True,False,"Nucleus, nucleolus;Cytoplasm"
PFDN1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
SKA1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
HAUS4,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
MED11,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
CCDC59,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
CSH2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TSEN34,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
DSCC1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
INTS9,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PFDN4,0.25,0.0,False,False,False,True,0,1,1,,0,,False,Q9NQP4,False,False,False,Nucleus;Cytoplasm;Mitochondrion
EPRS1,0.25,1.0,False,False,False,True,0,1,0,,0,,False,,False,False,False,
PTPMT1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TSEN54,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
POLR1G,0.25,0.0,False,False,False,True,0,4,4,CHEMBL6067043,0,,False,O15446,False,False,False,"Nucleus, nucleolus;Chromosome"
PPRC1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NBAS,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PFDN5,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
RINT1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
WWTR1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
SOCS3,0.0,0.0,False,False,False,False,0,4,3,,0,,False,O14543,False,False,False,
WBP11,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
ARMC5,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
DDX10,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
UFC1,0.35,1.0,False,False,True,False,0,0,0,,0,,False,,False,False,False,
CCT8,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
RSL1D1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
ELMO2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
HAUS1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
MED26,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
FOXK1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NOC3L,0.25,0.0,False,False,False,True,0,1,1,,0,,False,Q8WTT2,False,False,False,"Nucleus, nucleolus;Nucleus speckle"
HAUS5,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
HNRNPH1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NOB1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
HJV,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NUP54,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PAK1IP1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
RPS21,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6067552,1,,False,P63220,False,False,False,"Cytoplasm, cytosol;Cytoplasm;Rough endoplasmic reticulum"
ALG2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
ARPC2,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
ACTR3,0.6,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
PTPN11,1.0,0.0,False,True,False,True,1,9,2,CHEMBL3864,2112,INHIBITOR,True,Q06124,False,True,False,Cytoplasm;Nucleus
SLC35B2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
