gene,glioma_mean,rest_mean,diff,cohens_d,t,p,fdr,is_common_essential,pan_ess_fraction,glioma_dep_fraction,neglog_fdr,dependency_score,archetype
HSCB,-0.7795978828207253,-0.6169640232098997,-0.16263385961082555,-0.5827719393294765,-4.472868567997224,2.5516947015561843e-05,0.0009959261088350441,True,0.6714770797962648,0.8194444444444444,3.0017728821743184,0.45432777006858804,pan-glioma-dep
EIF3B,-1.9525312034467044,-1.7586242449212484,-0.19390695852545603,-0.5812269629147955,-4.614571025892703,1.4833423743355122e-05,0.0006694096216270791,True,1.0,1.0,3.174308049687359,1.1348637813756985,pan-glioma-dep
HAUS2,-0.8619193091620576,-0.7597823842487536,-0.10213692491330406,-0.5808780278219411,-4.6812976347850075,1.1449729119307573e-05,0.0005574275731019415,True,0.9439728353140917,0.9861111111111112,3.253811552756102,0.5006699884477059,pan-glioma-dep
SETD5,-0.41965248595547805,-0.30148985552307345,-0.1181626304324046,-0.5772164850179105,-5.039734283319412,2.7357675483820074e-06,0.00018924328724637853,False,0.16213921901528014,0.2916666666666667,3.72297951665516,0.24223033287224907,subset-dep
UBTF,-1.8326673294301459,-1.655208287897841,-0.17745904153230496,-0.5740993889031781,-4.3011433393816,4.8358121296464816e-05,0.0016550197775287488,True,0.9991511035653651,1.0,2.781196812027066,1.0521331938886662,pan-glioma-dep
ERCC6L,-0.36989160690495865,-0.26510846775579255,-0.1047831391491661,-0.56632214696083,-4.104922037484052,9.866650974541262e-05,0.0028148235487242238,False,0.10186757215619695,0.2361111111111111,2.5505488243356305,0.20947780896520757,subset-dep
NDC1,-0.6778604951759178,-0.5230167371023102,-0.15484375807360762,-0.5633794862735895,-3.592980618852693,0.000576816367984418,0.009586495407058287,False,0.4966044142614601,0.7083333333333334,2.0183401314685443,0.38189269753736954,pan-glioma-dep
PES1,-1.195237715292269,-1.064839520024667,-0.1303981952676021,-0.5631982342271135,-3.6397489446168962,0.0004939336959907755,0.00860828414141122,True,0.9855687606112055,0.9861111111111112,2.0650834062907966,0.6731557707342553,pan-glioma-dep
CYFIP1,-0.4150556877751969,-0.3141145756581718,-0.10094111211702511,-0.561393908364208,-4.240972883948074,6.00880245666144e-05,0.001953787746162366,False,0.15619694397283532,0.375,2.7091226185483546,0.23300973474891223,subset-dep
PDCD5,-0.5801281897942498,-0.4511190090774187,-0.12900918071683115,-0.5609150063673698,-4.561691912271002,1.7995999219463695e-05,0.0007676579095616941,False,0.3930390492359932,0.5694444444444444,3.1148322709682748,0.3254026072723324,pan-glioma-dep
RABGGTB,-1.650650036356352,-1.4658021394747554,-0.18484789688159675,-0.5519941302670252,-4.842342166222062,5.953533891424189e-06,0.0003386143276150977,True,0.9940577249575552,1.0,3.470294669757706,0.9111491311937581,pan-glioma-dep
