gene,glioma_mean,rest_mean,diff,cohens_d,t,p,fdr,is_common_essential,pan_ess_fraction,glioma_dep_fraction
LY9,-0.11834576302502972,-0.10128514643222736,-0.017060616592802363,-0.1303003751175158,-1.114983452496213,0.26813622711153234,0.5056234759425549,False,0.008488964346349746,0.013888888888888888
LY96,-0.025279173408662616,0.006642890176868731,-0.031922063585531346,-0.25354621299932756,-2.4762489809901997,0.015252638339604658,0.08715338551016134,False,0.0025466893039049238,0.0
LYAR,0.19857901579066578,0.19981366654130875,-0.0012346507506429683,-0.012731630898199186,-0.1402607948942718,0.8887668014038169,0.945892005105785,False,0.0,0.0
LYG1,0.09824081563975387,0.08624534630825513,0.01199546933149874,0.10693421175667563,1.1290776454581517,0.2619242429551323,0.49879195756634254,False,0.0,0.0
LYG2,-0.011829979619793676,-0.025707534197664878,0.013877554577871203,0.13506371449723284,1.3668686209010823,0.17520518044761274,0.39488942167561075,False,0.0,0.0
LYL1,-0.09758809993657665,-0.10321731755808361,0.005629217621506963,0.04617783634510583,0.5226008248301549,0.6025153745121853,0.7877728568241371,False,0.007640067911714771,0.0
LYN,0.037999185824171666,0.0391645990361751,-0.0011654132120034327,-0.009922005777732,-0.10139977205768591,0.919466567362033,0.9618241969322231,False,0.004244482173174873,0.0
LYNX1,0.19960822657695146,0.18278092747496444,0.01682729910198702,0.1021665625548342,0.7083658153539515,0.48238841514212827,0.7015666330762464,False,0.0,0.0
LYPD1,-0.03827197294019993,-0.042390998805326964,0.004119025865127031,0.039890465668283914,0.28364776690786786,0.7774339669906358,0.8941713393210651,False,0.0008488964346349745,0.013888888888888888
LYPD2,-0.07191161595840462,-0.07636226354189914,0.004450647583494519,0.03061183862585272,0.28778285115358326,0.7742212708529743,0.8925389800271467,False,0.007640067911714771,0.013888888888888888
LYPD3,-0.12920031002615842,-0.107576571546178,-0.02162373847998042,-0.1779053471713963,-1.5430038353063036,0.12669002831530393,0.32522976748774685,False,0.005942275042444821,0.013888888888888888
LYPD4,-0.15395482688822154,-0.1615335365364633,0.007578709648241755,0.08067173203486924,0.6250487928494604,0.5337338058763776,0.7381223362471001,False,0.001697792869269949,0.0
LYPD5,-0.08889562609082767,-0.07516115921990912,-0.013734466870918546,-0.12930801728905408,-1.0268283119244388,0.30760463087459966,0.5467306117806873,False,0.0,0.0
LYPD6,0.011823945314834404,0.014367151157119782,-0.0025432058422853784,-0.02283392066254292,-0.21115851181432985,0.8332777057001046,0.9211765601496217,False,0.0008488964346349745,0.0
LYPD6B,-0.10883373439122844,-0.09706921523449298,-0.011764519156735459,-0.09389359493959477,-0.7691430296497639,0.4440609290075769,0.6720557192177519,False,0.0025466893039049238,0.0
LYPLA1,-0.21512394388038786,-0.20938364920755584,-0.005740294672832019,-0.04478498160223624,-0.39518306079504556,0.6937309190443226,0.8464811786145939,False,0.013582342954159592,0.027777777777777776
LYPLA2,-0.1425487037183408,-0.15552058536020827,0.012971881641867467,0.10144154778037691,1.0144246605907494,0.3132210305594055,0.5521000966627613,False,0.011035653650254669,0.0
LYPLAL1,-0.04947866325881775,-0.030784897287013176,-0.018693765971804575,-0.15464307223661897,-1.1374469863306549,0.2588184856692396,0.49514062885745824,False,0.0025466893039049238,0.0
LYRM1,0.1573936615455971,0.15678785441895382,0.000605807126643293,0.006331198972433831,0.05515876047140589,0.9561463027742085,0.9803878647343169,False,0.0,0.0
LYRM2,-0.25384210762807224,-0.20724035521348036,-0.046601752414591885,-0.2763136291488681,-2.352835070011897,0.021046086642997255,0.10751687718732215,False,0.055178268251273345,0.06944444444444445
LYRM4,-1.427190300443157,-1.2102474095754887,-0.21694289086766827,-0.6114622996476407,-5.979213963333592,5.0656051007222974e-08,6.547472685788573e-06,True,0.9753820033955858,1.0
LYRM7,-0.05705088289755706,-0.06434186589126466,0.007290982993707597,0.05124365583869197,0.389990888624486,0.6975934588145289,0.8484206373037201,False,0.017826825127334467,0.013888888888888888
LYRM9,-0.0208907290982022,-0.07122356358864569,0.05033283449044349,0.37652130848868454,3.325794559378187,0.001319019690285358,0.017199095175511263,False,0.005942275042444821,0.0
LYSET,-0.022440849224337946,-0.046740252656707004,0.024299403432369058,0.1891494585317631,1.4469806328226267,0.1518565557802593,0.36285170090145713,False,0.005942275042444821,0.013888888888888888
LYSMD1,-0.3111661927051773,-0.3114538763323004,0.00028768362712305873,0.002155947970941192,0.015781579643949495,0.987448809207256,0.9944745645157591,False,0.07130730050933787,0.05555555555555555
LYSMD2,0.06785173161359213,0.08597618495394391,-0.018124453340351773,-0.17060999525425383,-1.347077268760291,0.18177484278680825,0.4034037016435596,False,0.0,0.0
LYSMD3,0.121672712058999,0.139956890305055,-0.018284178246056007,-0.1863995667879082,-1.4718263777739025,0.14500738134414023,0.3530306079850002,False,0.0,0.0
LYSMD4,0.12477579816919443,0.1301848002340062,-0.005409002064811763,-0.05679369193662759,-0.5217501394121066,0.6032277893393438,0.7879710830868771,False,0.0,0.0
LYST,-0.09265248698619846,-0.07096715683036385,-0.021685330155834612,-0.19533034681672604,-1.911165687783314,0.0593390474375315,0.20542587488954728,False,0.001697792869269949,0.0
LYVE1,0.059020185563622304,0.03348982570764542,0.025530359855976882,0.2840034881294593,2.6407882535530747,0.00986619921910639,0.06605048117654791,False,0.0,0.0
LYZ,-0.11593208440909865,-0.12208090670194736,0.006148822292848716,0.05623825382480983,0.5207227456130227,0.6039364295744403,0.788093636479757,False,0.0050933786078098476,0.013888888888888888
LYZL4,0.03840580124084357,0.008147017296946751,0.03025878394389682,0.27984640673084504,2.5743943966127225,0.011807890059093565,0.07375838832417118,False,0.0,0.0
LYZL6,-0.07105551152046129,-0.07417256789730511,0.003117056376843827,0.02707427101301799,0.22884969982032025,0.8195614024799976,0.9150160208656845,False,0.0008488964346349745,0.0
LZIC,-0.08337639607225816,-0.10960660616163073,0.02623021008937257,0.23549491531679126,1.6929484481797037,0.09445815845166762,0.2722948297377437,False,0.0025466893039049238,0.013888888888888888
