,sc_malignant_mean,sc_tme_max_mean,sc_tme_max_type,sc_tme_mean,sc_pct_malignant_expressing,sc_malignant_specificity,sc_tme_dominated_flag,sc_neoplastic_mean,sc_nonneoplastic_mean,sc_malignant_vs_tme_collapsed,sc_measured
PSMG4,0.12319900065443365,0.0986437527661153,natural killer cell,0.06991171707239703,0.22826044337795343,0.02455524788831835,False,0.12319910320241119,0.0668438307686315,0.05635527243377969,True
PDCL3,0.14213294977899515,0.23528734583089814,mature T cell,0.14598348858266838,0.2589063762047035,-0.09315439605190298,False,0.14213309313564207,0.15003036999568808,-0.007897276860046015,True
BRAT1,0.13899837858104558,0.10128302976950052,natural killer cell,0.04900086983131142,0.24944126849695344,0.03771534881154506,False,0.13899844727074678,0.05259621016191569,0.0864022371088311,True
FAM50A,0.23970080123299672,0.36861118150152805,oligodendrocyte,0.19213269379366835,0.3789336658275892,-0.12891038026853133,False,0.23970082396223086,0.22313421002325357,0.016566613938977293,True
HAUS3,0.04884267683546916,0.10447450768379206,mature T cell,0.03667664364348543,0.12971196900902596,-0.0556318308483229,False,0.04884273965543025,0.05045616765299126,-0.0016134279975610136,True
KIF18A,0.022817954466732765,0.06946621070266577,radial glial cell,0.011779055752570081,0.05042306757318402,-0.04664825623593301,False,0.022817951475306048,0.006883905099805592,0.015934046375500457,True
SYS1,0.11355000429904814,0.15457608985900878,B cell,0.10841814460500632,0.2206146438625795,-0.04102608555996064,False,0.11354989134838418,0.12219971479357139,-0.008649823445187207,True
POP7,0.33620752684683264,0.1897180885346346,oligodendrocyte,0.10343965111790919,0.46724068976874394,0.14648943831219804,False,0.3362074335161887,0.0911122206114949,0.2450952129046938,True
SNRPB2,0.6523119835086986,0.8153009824169448,radial glial cell,0.4362705932935446,0.6678743108978129,-0.16298899890824625,False,0.6523122524903106,0.39609895318467386,0.2562132993056367,True
SEC62,0.8387493743691272,1.1402459115365426,oligodendrocyte,0.6503212071808611,0.7697320441339074,-0.3014965371674154,True,0.838749999465133,0.5729577441156838,0.26579225534944917,True
LYRM4,0.16350232626469502,0.22135598472335138,radial glial cell,0.11829679910197859,0.2944299370299794,-0.057853658458656365,False,0.16350230927339127,0.11110931053918441,0.05239299873420686,True
C19orf53,0.7787197468134418,0.7384833176661778,radial glial cell,0.5627157078295705,0.7118200139584853,0.040236429147264,False,0.7787202608078592,0.5403806925602839,0.2383395682475753,True
TAF1C,0.05906142475960785,0.14485753428351472,endothelial cell,0.038221486544445626,0.12772014021220035,-0.08579610952390687,False,0.059061460296822445,0.030828138076793,0.028233322220029444,True
SBDS,0.6545866338812631,0.8456458765271668,oligodendrocyte,0.336439869151619,0.6653100273680413,-0.19105924264590368,False,0.6545869622155857,0.29349641895771833,0.3610905432578673,True
KRTAP21-1,,,,,,,,,,,False
INTS12,0.10545815133867854,0.08866562247063964,radial glial cell,0.049569391148743036,0.2033155323436924,0.016792528868038906,False,0.10545819106389054,0.04467082709470974,0.060787363969180795,True
DDX51,0.053721830913548756,0.04880948684582505,oligodendrocyte,0.023603652750925182,0.13804000909654096,0.004912344067723708,False,0.05372187721949055,0.02027316929502185,0.033448707924468704,True
DDX55,0.08546167185517052,0.07603380015026347,radial glial cell,0.044071591850344906,0.17550834764470166,0.009427871704907054,False,0.0854616558211233,0.03994292149331127,0.04551873432781203,True
PRKRA,0.22619065061763013,0.21468948085341885,oligodendrocyte,0.10972434139138286,0.36005834333168657,0.011501169764211283,False,0.22619058648891985,0.09989330128183296,0.12629728520708688,True
PREB,0.1204146912990853,0.11292947417164183,plasma cell,0.07294856549016372,0.22114788936724147,0.007485217127443475,False,0.12041471691037212,0.07069067486117314,0.049724042049198974,True
TAF1A,0.033202082840683496,0.05132322473631323,radial glial cell,0.01581968566550093,0.08114741885650206,-0.018121141895629737,False,0.03320209393887662,0.01442094299102682,0.018781150947849795,True
CCT4,0.4691889452902107,0.45345193779475224,oligodendrocyte,0.330640125114582,0.5570768736129735,0.015737007495458477,False,0.4691884815185761,0.3420602617861052,0.1271282197324709,True
HSCB,0.08862435687264256,0.0914897370657455,dendritic cell,0.06676565278300264,0.18246406474227775,-0.002865380193102937,False,0.08862442274759819,0.06444492134841152,0.024179501399186662,True
EIF3B,0.258611539714991,0.14174613088438617,oligodendrocyte,0.09519531321252252,0.3926255283443511,0.11686540883060484,False,0.2586112338715233,0.08258002529956869,0.1760312085719546,True
HAUS2,0.06883086316822294,0.07842996276424974,oligodendrocyte,0.05241674374869457,0.16884277883642695,-0.009599099596026797,False,0.06883088937452322,0.057156011038497635,0.011674878336025589,True
SETD5,0.3221397209124105,0.2434865673796383,endothelial cell,0.12988420067199816,0.4518549885901146,0.07865315353277219,False,0.3221395083977171,0.12080478948834257,0.20133471890937454,True
UBTF,0.15642287351708176,0.18406965867636815,natural killer cell,0.09681721532973868,0.27896581739478205,-0.027646785159286397,False,0.156422821105416,0.08377609722529887,0.07264672388011713,True
ERCC6L,0.00520516338481208,0.01208573767446223,radial glial cell,0.0025793557114826356,0.01594247222026176,-0.00688057428965015,False,0.005205163280112145,0.0015468749539618279,0.003658288326150317,True
NDC1,0.04161634299386422,0.05162489704251794,mural cell,0.022032733448251792,0.09350616761160907,-0.010008554048653716,False,0.04161634490977955,0.019748851959606944,0.021867492950172606,True
PES1,0.10010525482255302,0.08693609672444302,oligodendrocyte,0.05973241698898544,0.19534821715638992,0.013169158098109993,False,0.10010534833548707,0.05572756170164004,0.044377786633847026,True
CYFIP1,0.1262155990143795,0.5979417852240737,microglial cell,0.17322819146242305,0.2369805757483081,-0.4717261862096942,True,0.12621565152887554,0.31347812479732357,-0.18726247326844803,True
PDCD5,0.6107044792978491,0.43809748847662816,mural cell,0.27299020007012875,0.642772562950416,0.17260699082122094,False,0.6107046616327861,0.24935907403015914,0.361345587602627,True
RABGGTB,0.17517464528920765,0.2541379545965348,oligodendrocyte,0.16398736833192587,0.29647665874640255,-0.07896330930732717,False,0.17517476972508056,0.19242937486006997,-0.017254605134989415,True
SRSF2,0.6561835586551202,0.7809148518710598,natural killer cell,0.5346862252501166,0.6511319704205581,-0.12473129321593956,False,0.656183843969922,0.5893327116134212,0.06685113235650086,True
DPH3,0.1253420406536549,0.1523401569496257,mural cell,0.10061210476317171,0.23566314567796676,-0.026998116295970792,False,0.12534210467112147,0.10552291648512166,0.019819188185999814,True
PPAN,0.07837226915067459,0.10649073305930801,natural killer cell,0.0457058863063261,0.15783282753428848,-0.028118463908633415,False,0.07837227136479777,0.05156186854498772,0.02681040281981005,True
UBE2C,0.17815412559547866,0.16548453529916457,radial glial cell,0.054712362503555934,0.17276370166482383,0.012669590296314093,False,0.17815414569412694,0.04219890210975592,0.135955243584371,True
ACTL6A,0.17073281079827754,0.22202509470180468,radial glial cell,0.09386460415050962,0.2834356694191545,-0.051292283903527136,False,0.1707327466620887,0.07627160318826096,0.09446114347382775,True
RSAD1,0.08520079175779842,0.06057451222990397,mural cell,0.03848771266243777,0.1701837344437387,0.02462627952789445,False,0.08520077907414914,0.03993231033634141,0.045268468737807724,True
PPP2R1A,0.49343241981568914,0.40045142745433643,mural cell,0.239479460198601,0.5821080449494593,0.09298099236135271,False,0.4934318722504529,0.21395858044739402,0.27947329180305885,True
RPTOR,0.03187718393923777,0.029846088481860593,oligodendrocyte,0.015451760419158857,0.08032402506253872,0.0020310954573771745,False,0.03187719105696372,0.018601289481457128,0.01327590157550659,True
TMED2,0.5442499762144333,0.6786574654922163,mural cell,0.38556508023535563,0.6050062342672972,-0.134407489277783,False,0.5442496354030568,0.38331852700412355,0.16093110839893326,True
PPP1R12A,0.3048865055823081,0.5687856963390355,mural cell,0.2646856215245737,0.4479497494530313,-0.2638991907567274,True,0.3048864706499226,0.2516756087066676,0.05321086194325497,True
SNUPN,0.08963365207561018,0.08537016861541526,radial glial cell,0.051280047777628394,0.17650426204311448,0.004263483460194922,False,0.08963367134039824,0.051489455977277145,0.03814421536312109,True
MAK16,0.05555497577686022,0.04420458755664323,oligodendrocyte,0.028075102143394492,0.12292877251589934,0.011350388220216993,False,0.05555497828965867,0.027807635103886376,0.027747343185772294,True
CHMP7,0.08007068152544376,0.08764694232940674,B cell,0.05092764757202676,0.16583151010421812,-0.007576260803962981,False,0.08007068260142255,0.053191896027029666,0.02687878657439289,True
RAB1A,0.4849652846518707,0.6567995485196834,mural cell,0.326884059370817,0.584476282337811,-0.17183426386781264,False,0.4849649611229948,0.3781181071511493,0.10684685397184551,True
CDK2,0.056714869415511564,0.15057116990701436,mural cell,0.03848698554342044,0.11784725653029697,-0.09385630049150279,False,0.05671484883502158,0.023859568417151658,0.03285528041786992,True
SPCS2,0.8047259182913203,1.0660111299761525,plasma cell,0.6311983614882156,0.7403408066122442,-0.2612852116848322,True,0.8047273034378087,0.551345678350354,0.25338162508745476,True
ELAC2,0.09592541879724424,0.08402944854309596,mural cell,0.04931851621741031,0.1928623520831863,0.011895970254148278,False,0.09592549968028119,0.05087056325837996,0.04505493642190123,True
GPR61,0.00035364513827383957,0.0008847449495022321,mural cell,0.0001485023555610848,0.0010351236266967793,-0.0005310998112283926,False,0.0003536451345345562,0.00010279188954023497,0.00025085324499432126,True
GRB2,0.24657648516356043,0.7087652034001413,monocyte,0.39196462858584163,0.38530124450090575,-0.4621887182365808,True,0.24657611039388186,0.509011504486793,-0.26243539409291117,True
ODR4,0.12015990370122236,0.12895659202280435,oligodendrocyte,0.06592021571847348,0.23382031194862024,-0.008796688321581994,False,0.12015993553187228,0.06186130468533441,0.058298630846537865,True
ZNHIT3,0.2599810376361254,0.32159850764707776,radial glial cell,0.1700874573481818,0.4000125469530509,-0.06161747001095236,False,0.25998103166635944,0.15727929364976123,0.10270173801659821,True
ELAVL1,0.26878918149364506,0.270765340967138,mural cell,0.15144513579575578,0.41604912132119415,-0.0019761594734929444,False,0.2687889053139126,0.14965037486436414,0.11913853044954845,True
UBA5,0.12032857669990782,0.13741288845898908,mural cell,0.06703900011808553,0.23491817034057136,-0.01708431175908126,False,0.12032869085555586,0.05983920174239521,0.060489489113160655,True
EGLN1,0.13043262693486204,0.19727633753999027,endothelial cell,0.08302137171147907,0.2367531622242611,-0.06684371060512823,False,0.1304325970131163,0.07698211241172193,0.05345048460139437,True
SRF,0.06303865025273285,0.11233069810737843,mural cell,0.04052182347286703,0.12415994228401597,-0.04929204785464558,False,0.06303875423612781,0.03080926289623053,0.03222949133989728,True
RPS17,1.268700095480394,3.009800317886677,radial glial cell,1.8244335531112705,0.6947091067353612,-1.7411002224062828,True,1.2686986580923771,1.6366354583248437,-0.36793680023246655,True
