,malignant cell,macrophage,mural cell,dendritic cell,microglial cell,monocyte,oligodendrocyte,endothelial cell,mature T cell,oligodendrocyte precursor cell,mast cell,B cell,plasma cell,natural killer cell,astrocyte,radial glial cell,neuron
SLC35B2,0.1715442953242411,0.06905813412471792,0.15895609290710794,0.05609235117092966,0.06312235267594267,0.04779208686793727,0.1798274762049173,0.04609675720931871,0.0628423429623916,0.36000367085779866,0.0823124014340521,0.05606357746124267,0.06810696667932964,0.06743036019557831,0.149803402795957,0.015167687259452556,0.09736325524070046
COPA,0.23985109788519812,0.2072892801939542,0.3037653354394587,0.18922399902728976,0.17852398498831845,0.26389850112614477,0.44704876529818,0.19272578559694106,0.14447112276518206,0.6290543612333075,0.1275343688819108,0.09814921464920044,0.11564232820605898,0.12023555614613969,0.4330273592747705,0.054534799758760286,1.0131369666619734
CDC42,0.6413012148141665,0.7843330104814278,0.8920967698265366,0.8581987106267385,0.7364620580702322,1.0481742242336105,0.8494195026442481,0.82163561222989,0.7258731399733839,0.3147693471081795,0.6396391605883437,0.5092883640289306,0.247242071932846,0.8614819079529765,0.4606359783624638,0.4697285559749026,0.9265151511539113
NARS1,0.3650816924783952,0.2262566566904078,0.3392460986824735,0.2000832666925817,0.21820958408929989,0.2342681267544119,0.3350880915094154,0.20737192747674407,0.12334210305309108,0.33076799276375,0.16351935850711036,0.12654687333106995,0.13952111676856355,0.15524707572342356,0.32023770754047903,0.21775168290883992,0.4981712075796994
PSTK,0.04563019431682209,0.013210975759555958,0.023960809508398996,0.015223365424709229,0.01421192670826117,0.00944774066986771,0.06444249625638093,0.012190974905621953,0.01928900916662908,0.02810441005614496,0.01150544886614618,0.0117855797290802,0.01984230303889388,0.02293236392623883,0.03913383814640817,0.030657178451253035,0.05564590475775979
NOP2,0.05093681663229192,0.03693135879722019,0.023903791717817147,0.03994303822848448,0.0410802583937399,0.02360347233898741,0.01914255602907441,0.03772631185724335,0.06031374351009415,0.058954031597222054,0.017061172957075186,0.02739753704071045,0.019062356306956366,0.047733634818074404,0.02806774522527794,0.025588440224077084,0.1133300123566931
FOXO3,0.20769634001650708,0.15705787513489056,0.17750032958594297,0.09045102524203623,0.15103877842249847,0.16712923489361634,0.19169190846692197,0.15204307848773066,0.05716311618520114,0.2542938770305726,0.08516669449154238,0.046278072881698606,0.06771670954002366,0.08955132022541946,0.19793171138432675,0.06005840630698212,0.5139862332831729
NOL12,0.07564453746331481,0.033219311969508857,0.03285683304786009,0.03663545294681964,0.03806400043321917,0.02957646301670725,0.0767313558582923,0.046390290777538014,0.05150986207072676,0.1420034468774834,0.02572737190742595,0.023518909406661986,0.03752578112420502,0.04766330933561283,0.10742332265211668,0.15578365676293476,0.4324947386472063
MLST8,0.14609127369490588,0.05661763866676153,0.08416575954226076,0.04530498378657837,0.04910034972330592,0.050411509385714426,0.09478931166348038,0.06459693657718654,0.05038487915398898,0.1724782252023297,0.05511581450301265,0.0358760335624218,0.04707623398178941,0.061824045395841555,0.13061383418265105,0.02073310060266672,0.4969292933290655
RRP1,0.1240044571718414,0.05423330747839801,0.04646694061197919,0.04480731907109966,0.05948804325059005,0.051708554066363835,0.15026105411082694,0.05449780436539898,0.050672168404933354,0.13242840394377708,0.05200400716817411,0.03455574188232422,0.0441281043930904,0.07581659065474942,0.043301242624404115,0.008841872592179598,0.32487800175493414
NUP35,0.07467981300053665,0.018432819555087097,0.033155766493090454,0.016652967292712935,0.020158882286808198,0.013914444351800092,0.038476542205480455,0.02212503545794409,0.02546020867094802,0.07933529682697789,0.02490542904940751,0.021323380374908447,0.02497895533492515,0.031377197293786935,0.036827158032125135,0.1243317304746426,0.07457941228693182
H3C8,0.0035261248075689378,0.0014044768182304808,0.000862203885200834,0.0005338079954632242,0.0010920135959024896,0.00015415434178188994,0.0002523160734845988,0.0,0.004134342493358072,0.0,0.007770666807650242,0.0,0.0012176179203328553,0.005154006066404705,0.0,0.0060137397757959316,0.0
NUBP2,0.2633527078429685,0.10681096076278944,0.13273483773296743,0.13132676297864118,0.10357884178079363,0.11091986094987019,0.20013853974682752,0.11289084480209124,0.1379441035726093,0.24348604967517237,0.09346472609778192,0.0823263129234314,0.129174527796832,0.17941339397200526,0.14810950563133107,0.025574125702541667,0.22027554329146037
IMP3,0.2509818223227946,0.18697390579111065,0.18533991178437248,0.1824695736553536,0.16930114981994038,0.15223508500901906,0.23623182137285076,0.20646325936111973,0.25791900484904273,0.3256775245310799,0.24528372255790648,0.2297307815551758,0.10801452398300171,0.29084077667835584,0.23566875016758207,0.007920121999028147,0.389201319353147
