gene,gtex_max_tpm,gtex_median_tpm,gtex_max_tissue,gtex_vital_organ_max,gtex_brain_max,gtex_brain_mean,gtex_nonbrain_max
HINFP,25.2539,7.57273,Brain_Cerebellar_Hemisphere,8.461139999999999,25.2539,8.231879999999999,15.3152
HJV,215.56400000000002,0.08301165,Muscle_Skeletal,66.0674,0.18979400000000002,0.07295520769230769,215.56400000000002
HNRNPH1,273.51,151.64749999999998,Ovary,216.80900000000003,173.234,57.996569230769225,273.51
HSCB,33.6607,15.6413,Cervix_Endocervix,17.2231,14.3281,11.762626923076924,33.6607
HSPA9,301.843,114.61500000000001,Cells_EBV-transformed_lymphocytes,126.26899999999999,130.74,96.88157692307693,301.843
HYOU1,132.364,38.213750000000005,Testis,55.1421,45.2662,30.451769230769234,132.364
IMP3,70.2688,41.039649999999995,Cells_EBV-transformed_lymphocytes,43.0438,50.9049,34.13845384615384,70.2688
INTS12,19.4015,8.823315000000001,Cells_EBV-transformed_lymphocytes,11.9081,8.32143,5.641170769230769,19.4015
INTS8,37.5241,18.3237,Testis,17.8692,21.7448,8.566449230769232,37.5241
INTS9,25.1112,9.68663,Cells_EBV-transformed_lymphocytes,12.4847,7.48867,4.565648461538462,25.1112
ITGAV,99.2809,27.775399999999998,Artery_Aorta,46.6061,45.2411,22.475384615384616,99.2809
ITGB5,424.31699999999995,42.0903,Artery_Aorta,79.2566,19.8872,13.396923076923079,424.31699999999995
JTB,324.246,158.83100000000002,Pituitary,203.793,194.394,108.26801538461538,324.246
JUN,528.967,118.131,Adipose_Visceral_Omentum,333.653,97.6156,56.115876923076925,528.967
KDM8,36.3901,3.430035,Liver,36.3901,7.44928,3.6806938461538468,36.3901
KIF18A,19.3301,0.2652245,Cells_EBV-transformed_lymphocytes,1.24575,0.275843,0.1094493923076923,19.3301
KIF18B,31.9321,0.22762300000000002,Cells_EBV-transformed_lymphocytes,1.0423799999999999,0.495728,0.2285071,31.9321
KIF2C,159.471,0.95493,Testis,1.57739,0.9838709999999999,0.44427923076923076,159.471
KLF16,47.6576,11.022099999999998,Brain_Nucleus_accumbens_basal_ganglia,17.0742,47.6576,23.246083076923075,24.7176
KRTAP21-1,0.118247,0.0,Testis,0.0,0.0,0.0,0.118247
