gene,archetype,glioma_dep_fraction,min_subgroup_n,sl_n_contexts,sc_compartment,sc_specificity_tier,sc_malignant_mean,sc_malignant_specificity,sc_tme_dominated_flag,gtex_max_tpm,gtex_max_tissue,gtex_vital_organ_max,gtex_brain_max,lake_neuron_max,lake_brain_max,gbmap_normal_brain_max,safety_vital_organ,safety_brain_bulk,safety_brain_neuron,safety_body_wide,safety_composite,cns_high_risk,vital_high_risk
KIF18B,pan-glioma-dep,0.5694444444444444,41,2,tumor-cell-expressed,not-TME-dominated-weak,0.024039095995835,0.0023674439849651,False,31.9321,Cells_EBV-transformed_lymphocytes,1.04238,0.495728,0.0028289601612464,0.034041190423263,0.0216716520108699,0.9611307420494699,0.9646643109540636,0.9575971731448764,0.7703180212014135,0.96113074204947,False,False
TRAPPC13,pan-glioma-dep,0.4583333333333333,33,0,tumor-cell-expressed,not-TME-dominated-weak,0.0717250995929295,0.0011855298031418,False,24.2169,Brain_Cerebellar_Hemisphere,15.663,24.2169,0.1624398346080489,0.1796675023941432,0.1472147787836465,0.7420494699646643,0.607773851590106,0.3180212014134276,0.8480565371024735,0.5559481743227326,False,False
PTK2,pan-glioma-dep,0.75,54,2,TME-dominated,TME-dominated,0.1507255451821378,-0.4138693298925386,True,51.6905,Artery_Tibial,22.4448,28.6309,1.1224633151298726,1.170188269563997,0.5645948750746765,0.6113074204946997,0.5265017667844523,0.0,0.5971731448763251,0.3792697290930507,True,False
UBC,pan-glioma-dep,0.2916666666666667,21,1,tumor-cell-expressed,not-TME-dominated-weak,1.9149531758419296,-0.1882717524509582,False,629.293,Artery_Tibial,482.672,305.161,0.3722838212030943,0.7319908864191497,1.9159228639169172,0.028268551236749095,0.04240282685512364,0.04946996466431097,0.060070671378091856,0.040047114252061235,True,True
RPL10A,pan-glioma-dep,1.0,72,0,TME-dominated,TME-dominated,1.5675340224572143,-1.270602402751831,True,2562.65,Ovary,759.811,389.057,0.2066864939004393,0.2454746742505786,2.4721766103405436,0.014134275618374548,0.02473498233215543,0.20848056537102477,0.017667844522968212,0.08244994110718491,True,True
FGFR1,subset-dep,0.2777777777777778,20,0,tumor-cell-expressed,not-TME-dominated-weak,0.1930029452224043,0.0219149530842289,False,144.816,Artery_Aorta,60.3967,121.999,0.3496192383536923,0.5207779272256534,0.7524355342311244,0.2826855123674912,0.15547703180212014,0.05653710247349819,0.2720848056537103,0.16489988221436983,True,False
SPOUT1,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.0824799375055952,0.0103957989952866,False,41.0397,Brain_Cerebellum,19.2702,41.0397,,,0.2071128013459119,0.667844522968198,0.41696113074204944,0.49823321554770317,0.6749116607773852,0.5276796230859836,False,False
BCCIP,pan-glioma-dep,0.875,63,0,tumor-cell-expressed,not-TME-dominated-weak,0.117501133009189,-0.0490260857332444,False,40.4047,Cells_EBV-transformed_lymphocytes,21.835,25.5144,0.131927503456277,0.1637672943762101,0.259870747825311,0.6183745583038869,0.5865724381625441,0.3816254416961131,0.6784452296819787,0.5288574793875147,False,False
POLR1H,pan-glioma-dep,0.9861111111111112,71,0,tumor-cell-expressed,not-TME-dominated-weak,0.1404930632040428,-0.11597999530391,False,109.827,Cells_EBV-transformed_lymphocytes,52.0234,27.495,,,0.197476823600875,0.32155477031802115,0.5512367491166077,0.49823321554770317,0.34982332155477036,0.4570082449941107,False,False
EAF1,pan-glioma-dep,0.625,45,0,tumor-cell-expressed,not-TME-dominated-weak,0.0890468643337988,-0.041140253128413,False,24.3882,Cells_EBV-transformed_lymphocytes,17.706,24.0478,0.0598149690791802,0.0598149690791802,0.1972077859734947,0.6961130742049471,0.6148409893992932,0.7455830388692579,0.8445229681978799,0.6855123674911661,False,False
NHLRC2,pan-glioma-dep,0.7777777777777778,56,0,tumor-cell-expressed,not-TME-dominated-weak,0.0399496073255279,-0.0395365714594589,False,17.4406,Cervix_Ectocervix,14.7666,10.1991,0.2510517424730271,0.2834159515031909,0.0925515244757248,0.7632508833922261,0.8056537102473498,0.1590106007067138,0.911660777385159,0.5759717314487632,False,False
FRS2,subset-dep,0.2361111111111111,17,0,tumor-cell-expressed,not-TME-dominated-weak,0.0749708472511073,-0.0089654307500054,False,18.1879,Nerve_Tibial,9.29191,15.1507,0.2228107471396909,0.2871662149306514,0.1304782755793102,0.8515901060070672,0.7491166077738516,0.18021201413427557,0.9081272084805654,0.5936395759717314,False,False
CCT6A,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,confirmed-malignant-enriched,0.8335029595622953,0.2553605487008751,False,248.855,Cells_EBV-transformed_lymphocytes,96.8687,125.139,0.1958706324939917,0.2480168798904947,0.596582751382481,0.20141342756183744,0.13780918727915192,0.2332155477031802,0.16607773851590102,0.19081272084805653,False,False
ALG1,pan-glioma-dep,0.9583333333333334,69,0,tumor-cell-expressed,not-TME-dominated-weak,0.0517839704088161,-0.0050169302199557,False,30.6562,Cells_Cultured_fibroblasts,10.2101,8.80251,0.0743940001972073,0.0808109143217048,0.106294247982723,0.8268551236749117,0.823321554770318,0.6643109540636043,0.7950530035335689,0.7714958775029447,False,False
CDC25B,subset-dep,0.3888888888888889,28,0,tumor-cell-expressed,not-TME-dominated-weak,0.1319291234189827,0.0076700035182968,False,143.63299999999998,Brain_Cerebellum,130.19799999999998,143.63299999999998,0.2170127009193319,0.2170127009193319,0.1589812053875489,0.14487632508833925,0.10600706713780916,0.1872791519434629,0.2826855123674912,0.14605418138987045,False,False
TIMM9,pan-glioma-dep,0.8055555555555556,58,0,tumor-cell-expressed,not-TME-dominated-weak,0.1944107596904768,-0.011367040669791,False,67.3903,Cells_EBV-transformed_lymphocytes,32.2727,31.3881,0.0685022436848599,0.0994688614369905,0.2057778003602678,0.48056537102473496,0.49823321554770317,0.7031802120141343,0.5123674911660777,0.5606595995288575,False,False
KLF16,subset-dep,0.4583333333333333,33,0,tumor-cell-expressed,not-TME-dominated-weak,0.0374107141748218,-0.0099336012902291,False,47.6576,Brain_Nucleus_accumbens_basal_ganglia,17.0742,47.6576,0.0290519172388019,0.0412752903838411,0.0285575234077193,0.7137809187279152,0.36042402826855124,0.8586572438162544,0.6289752650176679,0.6442873969375736,False,False
KIF2C,subset-dep,0.3333333333333333,24,3,tumor-cell-expressed,not-TME-dominated-weak,0.0548026892951098,-0.0338988041723236,False,159.471,Testis,1.57739,0.983871,0.0072299685806495,0.0163012832341582,0.0887014934674335,0.950530035335689,0.9575971731448764,0.9363957597173145,0.2544169611307421,0.9481743227326266,False,False
GOLT1B,subset-dep,0.3888888888888889,28,0,tumor-cell-expressed,not-TME-dominated-weak,0.1425123116439289,-0.0348065954848099,False,62.9218,Cells_Cultured_fibroblasts,34.5088,45.3241,0.2170683613428119,0.2170683613428119,0.1598100852492566,0.46289752650176674,0.3745583038869258,0.18374558303886923,0.5406360424028269,0.3404004711425206,False,False
TCP1,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.4762813034345616,0.0184635344175909,False,220.664,Cells_EBV-transformed_lymphocytes,101.854,109.377,0.1206678296243718,0.1206678296243718,0.6256864396008578,0.18374558303886923,0.16254416961130747,0.42756183745583043,0.19081272084805656,0.2579505300353357,False,False
PSMG4,pan-glioma-dep,0.9861111111111112,71,0,tumor-cell-expressed,not-TME-dominated-weak,0.1231990006544336,0.0245552478883183,False,7.465489999999999,Fallopian_Tube,4.37069,6.49483,0.1248098102580763,0.151461967639099,0.1509009382941506,0.911660777385159,0.8869257950530035,0.4134275618374559,0.9752650176678446,0.7373380447585394,False,False
PDCL3,subset-dep,0.4722222222222222,34,0,tumor-cell-expressed,not-TME-dominated-weak,0.1421329497789951,-0.0931543960519029,False,36.9194,Artery_Tibial,21.6149,18.9919,0.016278960613101,0.0876479841522341,0.2110423349510277,0.6254416961130742,0.6961130742049471,0.9187279151943463,0.7102473498233215,0.7467608951707891,False,False
BRAT1,pan-glioma-dep,0.6388888888888888,46,0,tumor-cell-expressed,not-TME-dominated-weak,0.1389983785810455,0.037715348811545,False,94.609,Testis,39.7109,72.6772,0.1070635589373101,0.1070635589373101,0.3868353993377902,0.4098939929328622,0.2720848056537103,0.5406360424028269,0.3851590106007067,0.40753828032979983,False,False
FAM50A,pan-glioma-dep,0.6805555555555556,49,0,tumor-cell-expressed,not-TME-dominated-weak,0.2397008012329967,-0.1289103802685313,False,143.86700000000002,Pituitary,123.158,131.86700000000002,0.1978673461042238,0.199932838936406,0.368611181501528,0.15194346289752647,0.11307420494699649,0.22968197879858654,0.2791519434628975,0.16489988221436983,False,False
HAUS3,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.0488426768354691,-0.0556318308483229,False,10.6473,Cells_EBV-transformed_lymphocytes,7.78107,9.67628,,,0.0587136180650803,0.88339222614841,0.8127208480565371,0.49823321554770317,0.9540636042402827,0.7314487632508834,False,False
KIF18A,pan-glioma-dep,0.9722222222222222,70,0,tumor-cell-expressed,not-TME-dominated-weak,0.0228179544667327,-0.046648256235933,False,19.3301,Cells_EBV-transformed_lymphocytes,1.24575,0.275843,0.004538727956035,0.035752602908905,0.0694662107026657,0.9575971731448764,0.9752650176678446,0.9434628975265018,0.8975265017667844,0.9587750294464076,False,False
SYS1,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.1135500042990481,-0.0410260855599606,False,22.9862,Uterus,18.3286,10.1998,0.0004459950789294,0.0004459950789294,0.1370857517819175,0.6819787985865724,0.8021201413427562,0.9893992932862191,0.8621908127208481,0.8244994110718492,False,False
POP7,pan-glioma-dep,0.9583333333333334,69,0,tumor-cell-expressed,not-TME-dominated-weak,0.3362075268468326,0.146489438312198,False,80.3228,Brain_Cerebellar_Hemisphere,34.983000000000004,80.3228,0.078283763036735,0.078283763036735,0.2402414350259688,0.4593639575971732,0.2332155477031802,0.6431095406360424,0.441696113074205,0.44522968197879864,False,False
SNRPB2,pan-glioma-dep,0.8333333333333334,60,1,tumor-cell-expressed,not-TME-dominated-weak,0.6523119835086986,-0.1629889989082462,False,69.3803,Cells_EBV-transformed_lymphocytes,30.0896,24.9601,0.0680865352002617,0.1100432965537905,0.8153009824169448,0.5088339222614842,0.5971731448763251,0.7067137809187279,0.49823321554770317,0.6042402826855123,False,False
SEC62,subset-dep,0.3888888888888889,28,0,TME-dominated,TME-dominated,0.8387493743691272,-0.3014965371674154,True,86.3487,Brain_Spinal_cord_cervical_c-1,50.0405,86.3487,0.6101539348739898,0.6101539348739898,1.1402459115365426,0.33215547703180215,0.20848056537102477,0.014134275618374548,0.41696113074204944,0.18492343934040048,True,False
LYRM4,pan-glioma-dep,1.0,72,1,tumor-cell-expressed,not-TME-dominated-weak,0.163502326264695,-0.0578536584586563,False,7.98525,Ovary,4.34544,6.16095,0.2084622748925127,0.2150869163002072,0.2213559847233513,0.9187279151943463,0.8975265017667844,0.2049469964664311,0.9646643109540636,0.673733804475854,False,False
C19orf53,pan-glioma-dep,0.8055555555555556,58,1,tumor-cell-expressed,not-TME-dominated-weak,0.7787197468134418,0.040236429147264,False,192.66,Cells_Cultured_fibroblasts,108.411,94.7882,0.0751274183330602,0.1067715868164432,0.7384833176661778,0.16961130742049468,0.19787985865724378,0.6537102473498233,0.21201413427561833,0.3404004711425206,False,False
TAF1C,pan-glioma-dep,1.0,72,1,tumor-cell-expressed,not-TME-dominated-weak,0.0590614247596078,-0.0857961095239068,False,115.355,Ovary,67.4024,68.9342,0.0951124172231071,0.1187436895806534,0.2009048915722153,0.25795053003533563,0.2897526501766784,0.5759717314487632,0.3356890459363958,0.3745583038869258,False,False
SBDS,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.6545866338812631,-0.1910592426459036,False,562.956,Artery_Tibial,234.207,271.857,0.0968724753257597,0.1381012641758502,0.8456458765271668,0.08127208480565373,0.04593639575971731,0.5724381625441697,0.06713780918727918,0.23321554770318023,True,True
KRTAP21-1,subset-dep,0.2083333333333333,15,0,tumor-cell-expressed,not-measured,,,,0.118247,Testis,0.0,0.0,,,,0.9929328621908127,0.9946996466431095,0.49823321554770317,0.9929328621908127,0.8286219081272085,False,False
INTS12,pan-glioma-dep,0.6805555555555556,49,0,tumor-cell-expressed,not-TME-dominated-weak,0.1054581513386785,0.0167925288680389,False,19.4015,Cells_EBV-transformed_lymphocytes,11.9081,8.32143,0.0732696598014282,0.1356019789321818,0.1951304448828582,0.8056537102473498,0.833922261484099,0.6749116607773852,0.8939929328621908,0.7714958775029447,False,False
DDX51,pan-glioma-dep,0.9861111111111112,71,1,tumor-cell-expressed,not-TME-dominated-weak,0.0537218309135487,0.0049123440677237,False,48.1957,Brain_Cerebellum,19.8121,48.1957,0.1042561758376178,0.1042561758376178,0.1452038044279271,0.657243816254417,0.3533568904593639,0.5477031802120141,0.6219081272084805,0.519434628975265,False,False
DDX55,pan-glioma-dep,0.9861111111111112,71,0,tumor-cell-expressed,not-TME-dominated-weak,0.0854616718551705,0.009427871704907,False,31.2359,Cells_EBV-transformed_lymphocytes,17.3114,27.6176,0.1468632160346454,0.3440123651045249,0.1146983213892037,0.6996466431095406,0.5477031802120141,0.3356890459363958,0.773851590106007,0.5276796230859836,False,False
PRKRA,pan-glioma-dep,0.7638888888888888,55,0,tumor-cell-expressed,not-TME-dominated-weak,0.2261906506176301,0.0115011697642112,False,67.7091,Artery_Tibial,35.5649,43.6404,0.1684755220468718,0.1684755220468718,0.4096136066046628,0.45229681978798586,0.38869257950530034,0.30388692579505305,0.5088339222614842,0.3816254416961131,False,False
PREB,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.1204146912990853,0.0074852171274434,False,133.408,Uterus,77.2925,71.4374,0.0793629532100448,0.1811249772567527,0.3367357768795707,0.23674911660777387,0.2791519434628975,0.6360424028268552,0.2968197879858657,0.38398115429917556,False,False
TAF1A,pan-glioma-dep,0.9583333333333334,69,0,tumor-cell-expressed,not-TME-dominated-weak,0.0332020828406834,-0.0181211418956297,False,7.54534,Cells_EBV-transformed_lymphocytes,3.26918,2.7639,0.0188173715460713,0.0280512989017302,0.0513232247363132,0.9257950530035336,0.9257950530035336,0.9081272084805654,0.9681978798586572,0.9199057714958775,False,False
CCT4,pan-glioma-dep,1.0,72,1,tumor-cell-expressed,not-TME-dominated-weak,0.4691889452902107,0.0157370074954584,False,270.731,Cells_EBV-transformed_lymphocytes,95.2102,123.665,0.1846498132219642,0.2154783881036428,0.6639158400622281,0.20848056537102477,0.14840989399293292,0.2720848056537103,0.15194346289752647,0.209658421672556,False,False
HSCB,pan-glioma-dep,0.8194444444444444,59,1,tumor-cell-expressed,not-TME-dominated-weak,0.0886243568726425,-0.0028653801931029,False,33.6607,Cervix_Endocervix,17.2231,14.3281,0.0689515511258132,0.0730864490163889,0.1229346253279316,0.7102473498233215,0.7632508833922261,0.6996466431095406,0.7526501766784452,0.724381625441696,False,False
EIF3B,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.258611539714991,0.1168654088306048,False,203.872,Cells_Cultured_fibroblasts,98.4603,80.9414,0.1386373527125507,0.172488270720186,0.2381803169846534,0.19434628975265023,0.22614840989399299,0.3639575971731449,0.2049469964664311,0.26148409893992935,False,False
HAUS2,pan-glioma-dep,0.9861111111111112,71,0,tumor-cell-expressed,not-TME-dominated-weak,0.0688308631682229,-0.0095990995960267,False,26.9355,Cells_EBV-transformed_lymphocytes,11.0769,10.6791,0.0540947694651857,0.056617761787271,0.0784299627642497,0.8091872791519434,0.7879858657243817,0.7561837455830389,0.8303886925795053,0.7844522968197879,False,False
SETD5,subset-dep,0.2916666666666667,21,0,tumor-cell-expressed,not-TME-dominated-weak,0.3221397209124105,0.0786531535327721,False,79.3874,Brain_Cerebellum,52.3764,79.3874,0.582556377940343,0.8535440533671336,0.5680135555805699,0.3180212014134276,0.24028268551236753,0.017667844522968212,0.44522968197879864,0.19199057714958778,True,False
UBTF,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.1564228735170817,-0.0276467851592863,False,72.8934,Brain_Cerebellum,38.3376,72.8934,0.1719146162745415,0.4179791829967401,0.2536696872927926,0.42756183745583043,0.26501766784452296,0.2826855123674912,0.4664310954063604,0.3250883392226149,False,False
ERCC6L,subset-dep,0.2361111111111111,17,0,tumor-cell-expressed,not-TME-dominated-weak,0.005205163384812,-0.0068805742896501,False,9.31565,Cells_EBV-transformed_lymphocytes,0.341541,0.453913,0.0040237751041179,0.0256658761972981,0.0137295120024267,0.9787985865724381,0.9681978798586572,0.9469964664310954,0.9575971731448764,0.9646643109540637,False,False
NDC1,pan-glioma-dep,0.7083333333333334,51,0,tumor-cell-expressed,not-TME-dominated-weak,0.0416163429938642,-0.0100085540486537,False,37.223,Cells_EBV-transformed_lymphocytes,6.5109699999999995,6.663189999999999,0.0771818577138334,0.1342899623871609,0.0436878516789405,0.8904593639575972,0.88339222614841,0.646643109540636,0.6996466431095406,0.8068315665488811,False,False
PES1,pan-glioma-dep,0.9861111111111112,71,0,tumor-cell-expressed,not-TME-dominated-weak,0.100105254822553,0.0131691580981099,False,91.4293,Cells_Cultured_fibroblasts,36.9099,26.8177,0.0351652502723212,0.0973174060005672,0.1030642634088342,0.441696113074205,0.5618374558303887,0.8374558303886925,0.4028268551236749,0.6136631330977621,False,False
CYFIP1,subset-dep,0.375,27,0,TME-dominated,TME-dominated,0.1262155990143795,-0.4717261862096942,True,69.2794,Artery_Aorta,57.4526,17.0979,0.2239179841614645,1.0338316516444013,0.1605348310643626,0.30388692579505305,0.7243816254416962,0.176678445229682,0.5017667844522968,0.4016489988221437,False,False
PDCD5,pan-glioma-dep,0.5694444444444444,41,0,tumor-cell-expressed,confirmed-malignant-enriched,0.6107044792978491,0.1726069908212209,False,103.656,Cells_Cultured_fibroblasts,61.7259,77.0623,0.1858034673395531,0.1858034673395531,0.3590314713391391,0.2720848056537103,0.25795053003533563,0.26501766784452296,0.3568904593639576,0.26501766784452296,False,False
RABGGTB,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.1751746452892076,-0.0789633093073271,False,58.6586,Cells_EBV-transformed_lymphocytes,40.1167,24.4166,0.0668812536432924,0.1380224662572783,0.2541379545965348,0.3992932862190812,0.6042402826855124,0.7208480565371025,0.558303886925795,0.574793875147232,False,False
SRSF2,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.6561835586551202,-0.1247312932159395,False,305.85900000000004,Cells_EBV-transformed_lymphocytes,230.696,203.651,0.2546332063903472,0.2546332063903472,0.748286135494709,0.0848056537102474,0.07773851590106007,0.15547703180212014,0.13427561837455826,0.1060070671378092,True,True
DPH3,pan-glioma-dep,0.9722222222222222,70,0,tumor-cell-expressed,not-TME-dominated-weak,0.1253420406536549,-0.0269981162959707,False,27.5831,Cells_Cultured_fibroblasts,18.6618,17.4471,0.0358976148246121,0.0438687693511632,0.1578633433038538,0.6749116607773852,0.7208480565371025,0.833922261484099,0.823321554770318,0.7432273262661956,False,False
PPAN,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.0783722691506745,-0.0281184639086334,False,131.015,Cells_EBV-transformed_lymphocytes,25.6812,33.4707,,,0.045056617849292,0.5759717314487632,0.48056537102473496,0.49823321554770317,0.3074204946996466,0.5182567726737338,False,False
UBE2C,pan-glioma-dep,0.875,63,0,tumor-cell-expressed,not-TME-dominated-weak,0.1781541255954786,0.012669590296314,False,144.451,Cells_EBV-transformed_lymphocytes,4.0311,0.395189,0.0009138988902585,0.0156157150697095,0.1654845352991645,0.9222614840989399,0.9717314487632509,0.9858657243816255,0.27561837455830385,0.9599528857479388,False,False
ACTL6A,pan-glioma-dep,1.0,72,0,tumor-cell-expressed,not-TME-dominated-weak,0.1707328107982775,-0.0512922839035271,False,74.5236,Testis,26.3973,17.0924,0.0101832290471484,0.0980074900649721,0.2220250947018046,0.5618374558303887,0.7279151943462898,0.9328621908127208,0.46289752650176674,0.740871613663133,False,False
RSAD1,subset-dep,0.3888888888888889,28,0,tumor-cell-expressed,not-TME-dominated-weak,0.0852007917577984,0.0246262795278944,False,96.7434,Brain_Cerebellum,42.7401,96.7434,0.1248619639392159,0.1571893183411893,0.2765357900749553,0.3816254416961131,0.19081272084805656,0.4098939929328622,0.37809187279151946,0.3274440518256773,False,False
PPP2R1A,pan-glioma-dep,0.9722222222222222,70,1,tumor-cell-expressed,not-TME-dominated-weak,0.4934324198156891,0.0929809923613527,False,181.189,Brain_Cerebellum,99.9416,181.189,0.3204124154358109,0.3204124154358109,1.096768552606756,0.19081272084805656,0.09187279151943462,0.07773851590106007,0.22968197879858654,0.12014134275618375,True,False
RPTOR,pan-glioma-dep,0.9861111111111112,71,2,tumor-cell-expressed,not-TME-dominated-weak,0.0318771839392377,0.0020310954573771,False,18.8553,Colon_Sigmoid,10.4818,14.8683,0.2969345638714566,0.3573124565739989,0.0500310935036984,0.8197879858657244,0.7526501766784452,0.10600706713780916,0.901060070671378,0.5594817432273262,False,False
