gene,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability,baseline_composite
RSL1D1,0.5265017667844523,1.0,0.001697792869269965,0.0,0.0,0.19784172661870503,1.0,0.8127208480565371,0.9869281045751634,0.3674911660777385,0.25,1.0,0.7632508833922261,0.001697792869269965,0.0,0.5989208633093526,0.8998244763158503,0.3674911660777385,0.25,0.4115978831377768
ELMO2,0.5229681978798587,0.2083333333333333,0.8599320882852293,0.24658341538520287,0.25,0.5287769784172662,1.0,0.12014134275618374,0.4052287581699346,0.3286219081272084,0.0,1.0,0.365650765606596,0.8599320882852293,0.24829170769260145,0.7643884892086331,0.2626850504630592,0.3286219081272084,0.0,0.40422428705476104
HAUS1,0.519434628975265,1.0,0.000848896434634816,0.0,0.0,0.12949640287769784,0.0,0.950530035335689,1.0,0.8150765606595995,0.0,1.0,0.7597173144876326,0.000848896434634816,0.0,0.06474820143884892,0.9752650176678446,0.8150765606595995,0.0,0.3736651415269372
MED26,0.5159010600706714,0.8333333333333334,0.25297113752122236,0.21628413325721715,0.25,0.6762589928057554,1.0,0.5759717314487632,0.9084967320261438,0.7550058892815077,0.25,1.0,0.6746171967020024,0.25297113752122236,0.2331420666286086,0.8381294964028777,0.7422342317374535,0.7550058892815077,0.25,0.5351571454676675
FOXK1,0.5123674911660777,0.2777777777777778,0.8378607809847198,0.2841965377037721,0.25,0.8093525179856115,1.0,0.2508833922261484,0.673202614379085,0.6289752650176678,0.0,1.0,0.39507263447192775,0.8378607809847198,0.26709826885188603,0.9046762589928057,0.4620430033026167,0.6289752650176678,0.0,0.49938945880308916
NOC3L,0.508833922261484,0.9166666666666666,0.22580645161290325,0.0,0.0,0.4784172661870504,1.0,0.5901060070671378,0.9673202614379084,0.8492343934040046,0.25,0.0,0.7127502944640753,0.22580645161290325,0.0,0.7392086330935252,0.7787131342525231,0.8492343934040046,0.25,0.507958986689576
HAUS5,0.5053003533568905,0.9861111111111112,0.03056027164685904,0.0,0.0,0.8381294964028777,1.0,0.4558303886925795,0.6862745098039216,0.6937573616018845,0.0,1.0,0.7457057322340008,0.03056027164685904,0.0,0.9190647482014389,0.5710524492482505,0.6937573616018845,0.0,0.422877223276062
HNRNPH1,0.5017667844522968,0.9444444444444444,0.10865874363327677,0.2472179590037998,0.25,0.2805755395683453,1.0,0.4876325088339223,0.7777777777777778,0.0883392226148409,0.0,1.0,0.7231056144483706,0.10865874363327677,0.24860897950189992,0.6402877697841727,0.63270514330585,0.0883392226148409,0.0,0.34881506761263015
NOB1,0.49823321554770317,1.0,0.015280135823429575,0.0,0.0,0.4748201438848921,1.0,0.5265017667844523,0.9477124183006536,0.6336866902237928,0.25,1.0,0.7491166077738516,0.015280135823429575,0.0,0.737410071942446,0.7371070925425529,0.6336866902237928,0.25,0.4460857997580104
HJV,0.49469964664310956,0.4166666666666667,0.7402376910016978,0.22169153094566452,0.25,0.7158273381294964,1.0,0.01060070671378092,0.0196078431372549,0.5806831566548881,0.0,1.0,0.4556831566548881,0.7402376910016978,0.23584576547283226,0.8579136690647482,0.01510427492551791,0.5806831566548881,0.0,0.4122096733963675
NUP54,0.4911660777385159,0.9027777777777778,0.20203735144312396,0.21079389824895817,0.25,0.7014388489208633,1.0,0.6501766784452296,0.9477124183006536,0.464075382803298,0.0,1.0,0.6969719277581469,0.20203735144312396,0.23039694912447908,0.8507194244604317,0.7989445483729416,0.464075382803298,0.0,0.46330651199463163
PAK1IP1,0.4876325088339223,1.0,0.009337860780984752,0.0,0.0,0.43884892086330934,1.0,0.7137809187279152,0.9673202614379084,0.7008244994110718,0.0,1.0,0.7438162544169611,0.009337860780984752,0.0,0.7194244604316546,0.8405505900829118,0.7008244994110718,0.0,0.43056480930336916
RPS21,0.4840989399293286,1.0,0.000848896434634816,0.0,0.0,0.02158273381294964,0.0,0.5159010600706714,0.8888888888888888,0.0482921083627797,0.6,0.0,0.7420494699646643,0.000848896434634816,0.0,0.01079136690647482,0.7023949744797802,0.0482921083627797,0.6,0.30062525944976193
ALG2,0.48056537102473496,1.0,0.018675721561969394,0.0,0.0,0.3381294964028777,1.0,0.7243816254416962,0.9607843137254902,0.6595995288574793,0.0,1.0,0.7402826855123674,0.018675721561969394,0.0,0.6690647482014389,0.8425829695835931,0.6595995288574793,0.0,0.41860080767383545
ARPC2,0.47703180212014135,0.7083333333333334,0.46943972835314096,0.0,0.0,0.039568345323741004,0.0,0.6466431095406361,0.9803921568627452,0.160188457008245,0.25,1.0,0.5926825677267373,0.46943972835314096,0.0,0.019784172661870502,0.8135176332016907,0.160188457008245,0.25,0.3293732227073835
ACTR3,0.4734982332155477,0.7361111111111112,0.4015280135823429,0.2277066271946903,0.75,0.11870503597122302,0.0,0.901060070671378,0.9869281045751634,0.4004711425206124,0.6,1.0,0.6048046721633294,0.4015280135823429,0.48885331359734513,0.05935251798561151,0.9439940876232708,0.4004711425206124,0.6,0.49985767821035887
PTPN11,0.46996466431095407,0.9166666666666666,0.2597623089983022,0.0,0.0,0.29136690647482016,1.0,0.09187279151943463,0.4313725490196078,0.1978798586572438,1.0,0.0,0.6933156654888104,0.2597623089983022,0.0,0.64568345323741,0.26162267026952124,0.1978798586572438,1.0,0.43689485095018393
SLC35B2,0.4664310954063604,0.3472222222222222,0.7750424448217318,0.39216650313350987,0.25,0.6223021582733813,1.0,0.8939929328621908,0.9934640522875816,0.5700824499411072,0.0,1.0,0.4068266588142913,0.7750424448217318,0.32108325156675493,0.8111510791366907,0.9437284925748862,0.5700824499411072,0.0,0.5468449109793517
