gene,glioma_mean,cohens_d,dep_fdr,glioma_dep_fraction,pan_ess_fraction,is_common_essential,archetype,sl_effect,sl_n_contexts,sl_best_context,sl_context_type,is_SL_partner_of_lost_TSG,lost_TSG_partner,sc_malignant_specificity,sc_tme_dominated_flag,sc_malignant_mean,sc_measured,sc_compartment,sc_specificity_tier,tcga_vs_normal_log2fc,tcga_pct_over_normal,tcga_gbm_median_log2tpm,safety_composite,safety_vital_organ,safety_brain_bulk,safety_brain_neuron,gtex_brain_max,lake_neuron_max,cns_high_risk,vital_high_risk,min_subgroup_n,tractability_score,novelty_score,has_inhibitor_moa,chembl_action_types,chembl_n_potent,dgidb_n_drugs,ot_drug_count,ot_sm_approved_drug,uniprot_kinase,uniprot_enzyme,uniprot_membrane,uniprot_loc
VCL,-0.573567767698867,-0.8925667177137667,5.14551352120079e-06,0.5555555555555556,0.2741935483870967,False,pan-glioma-dep,0.37426361529629,3,CDKN2B_del,TSG-loss,True,CDKN2A;CDKN2B,-0.3953180588234329,True,0.0728773089229269,True,TME-dominated,TME-dominated,1.5859000000000003,0.8758169934640523,4.3009,0.3792697290930507,0.176678445229682,0.7455830388692579,0.215547703180212,16.0323,0.2018728371368554,False,False,40,0.25,1.0,False,,0,0,0,False,False,False,False,
ITGB5,-0.582001271003651,-0.8604489360947074,1.16729792263953e-05,0.4583333333333333,0.2232597623089983,False,pan-glioma-dep,0.4935146257424675,3,MTAP_del,passenger-del(PRMT5-axis),True,CDKN2B;NF1,-0.1156345549535336,False,0.0344190005259734,True,tumor-cell-expressed,not-TME-dominated-weak,1.8698000000000008,0.934640522875817,5.613,0.5064782096584217,0.2332155477031802,0.6749116607773852,0.6113074204946997,19.8872,0.0847173920983162,False,False,33,0.8,0.5,False,,0,5,3,False,False,False,True,Cell membrane
SURF4,-0.3415652442056192,-0.8433936874795432,0.0007047774420264,0.2916666666666667,0.0687606112054329,False,subset-dep,0.0,0,,,False,,-0.1032083900973945,False,0.2378860301665038,True,tumor-cell-expressed,not-TME-dominated-weak,2.1423000000000005,0.9934640522875816,6.7659,0.3510011778563015,0.1307420494699647,0.3392226148409893,0.5830388692579505,50.928999999999995,0.0940618465150331,False,False,21,0.0,1.0,False,,0,0,0,False,False,False,False,
PDGFRA,-0.409077186802224,-0.843232797061861,0.0038568140432276,0.2638888888888889,0.0721561969439728,False,subset-dep,0.0,0,,,False,,0.3088852412256274,False,0.3610676309037116,True,tumor-cell-expressed,confirmed-malignant-enriched,1.7384000000000004,0.6601307189542484,4.4088,0.6289752650176679,0.2756183745583038,0.7314487632508834,0.8798586572438163,16.7691,0.0246374975376146,False,False,19,1.0,0.0,True,ANTAGONIST;INHIBITOR,965,77,33,True,True,True,True,"Cell membrane;Cell projection, cilium;Golgi apparatus"
NOLC1,-0.6429296467087683,-0.8365604743937822,7.628731507837682e-07,0.75,0.4337860780984719,True,pan-glioma-dep,0.0,0,,,False,,-0.0553871763108943,False,0.1009861118194959,True,tumor-cell-expressed,not-TME-dominated-weak,0.3998000000000008,0.3986928104575163,4.8375,0.32037691401649,0.3356890459363958,0.2226148409893993,0.4028268551236749,81.1708,0.1260173631116611,False,False,54,0.0,1.0,False,,0,0,0,False,False,False,False,
GPX4,-1.2317813041318542,-0.829685861021957,0.0002743910979591,0.8888888888888888,0.7054329371816639,True,pan-glioma-dep,0.0,0,,,False,,-0.0888463170747384,False,1.0274956953957337,True,tumor-cell-expressed,not-TME-dominated-weak,0.7891417795799995,0.8627450980392157,8.95914177958,0.0895170789163722,0.0742049469964664,0.0530035335689046,0.1413427561837456,260.978,0.2819656609167336,True,True,64,0.6,1.0,False,,0,2,0,False,False,False,False,
KIF18B,-0.7284770388636128,-0.8183497716713803,0.0006026613988927,0.5694444444444444,0.3259762308998302,False,pan-glioma-dep,0.3250894726753285,2,CDKN2A_del,TSG-loss,True,CDKN2A;CDKN2B,0.0023674439849651,False,0.024039095995835,True,tumor-cell-expressed,not-TME-dominated-weak,5.6927,0.9934640522875816,2.5213,0.96113074204947,0.96113074204947,0.9646643109540636,0.9575971731448764,0.495728,0.0028289601612464,False,False,41,0.0,1.0,False,,0,0,0,False,False,False,False,
TRAPPC13,-0.5111462189464862,-0.7982073376013507,1.0064141441473572e-05,0.4583333333333333,0.2011884550084889,False,pan-glioma-dep,0.0,0,,,False,,0.0011855298031418,False,0.0717250995929295,True,tumor-cell-expressed,not-TME-dominated-weak,0.8239000000000001,0.7124183006535948,4.1844,0.5559481743227326,0.7420494699646643,0.607773851590106,0.3180212014134276,24.2169,0.1624398346080489,False,False,33,0.0,1.0,False,,0,0,0,False,False,False,False,
PTK2,-0.8399534667162262,-0.7824314549369636,6.566983416906726e-06,0.75,0.4949066213921901,False,pan-glioma-dep,0.3184972111605185,2,CDKN2A_del,TSG-loss,True,CDKN2A;CDKN2B,-0.4138693298925386,True,0.1507255451821378,True,TME-dominated,TME-dominated,0.1297500000000004,0.3202614379084967,5.6218,0.3792697290930507,0.6113074204946997,0.5265017667844523,0.0,28.6309,1.1224633151298726,True,False,54,1.0,0.0,True,INHIBITOR,1925,31,7,False,True,True,True,"Cell junction, focal adhesion;Cell membrane;Cytoplasm, perinuclear region"
UBC,-0.6494979880688525,-0.7654005134207772,0.005127515746138,0.2916666666666667,0.1137521222410865,False,pan-glioma-dep,0.3838881286562446,1,TP53_mut,TSG-loss,True,TP53,-0.1882717524509582,False,1.9149531758419296,True,tumor-cell-expressed,not-TME-dominated-weak,1.1206500000000013,0.915032679738562,10.4577,0.0400471142520612,0.028268551236749,0.0424028268551236,0.0494699646643109,305.161,0.3722838212030943,True,True,21,0.6,1.0,False,,0,0,0,False,False,False,False,
RPL10A,-2.3463478265622766,-0.7544416089185297,2.67574009963731e-07,1.0,1.0,True,pan-glioma-dep,0.0,0,,,False,,-1.270602402751831,True,1.5675340224572143,True,TME-dominated,TME-dominated,1.3786000000000005,0.9738562091503268,9.8881,0.0824499411071849,0.0141342756183745,0.0247349823321554,0.2084805653710247,389.057,0.2066864939004393,True,True,72,0.6,0.0,False,,1,9,5,True,False,False,False,Cytoplasm
FGFR1,-0.3418583821363125,-0.7518928867898877,0.000583180703672,0.2777777777777778,0.0933786078098472,False,subset-dep,0.0,0,,,False,,0.0219149530842289,False,0.1930029452224043,True,tumor-cell-expressed,not-TME-dominated-weak,0.98815,0.5882352941176471,5.4555,0.1648998822143698,0.2826855123674912,0.1554770318021201,0.0565371024734981,121.999,0.3496192383536923,True,False,20,1.0,0.0,True,INHIBITOR,5414,136,26,True,True,True,True,"Cell membrane;Nucleus;Cytoplasm, cytosol"
SPOUT1,-1.5797120505021616,-0.7390745469817674,6.012809857096036e-06,1.0,0.99830220713073,True,pan-glioma-dep,0.0,0,,,False,,0.0103957989952866,False,0.0824799375055952,True,tumor-cell-expressed,not-TME-dominated-weak,1.2409999999999997,0.9084967320261438,5.438,0.5276796230859836,0.667844522968198,0.4169611307420494,0.4982332155477031,41.0397,,False,False,72,0.25,1.0,False,,0,0,0,False,False,False,False,
BCCIP,-0.6944073935319967,-0.7152781700031215,0.000408562072024,0.875,0.6994906621392191,True,pan-glioma-dep,0.0,0,,,False,,-0.0490260857332444,False,0.117501133009189,True,tumor-cell-expressed,not-TME-dominated-weak,0.4826500000000004,0.6666666666666666,4.9379,0.5288574793875147,0.6183745583038869,0.5865724381625441,0.3816254416961131,25.5144,0.131927503456277,False,False,63,0.0,1.0,False,,0,0,0,False,False,False,False,
POLR1H,-1.0246882479156876,-0.7103535009424833,9.78254330658491e-06,0.9861111111111112,0.935483870967742,True,pan-glioma-dep,0.0,0,,,False,,-0.11597999530391,False,0.1404930632040428,True,tumor-cell-expressed,not-TME-dominated-weak,2.051,0.9934640522875816,5.142,0.4570082449941107,0.3215547703180211,0.5512367491166077,0.4982332155477031,27.495,,False,False,71,0.25,1.0,False,,0,0,0,False,False,False,False,
EAF1,-0.6405691253786434,-0.6993585244349864,0.0004331467320472,0.625,0.3599320882852292,False,pan-glioma-dep,0.0,0,,,False,,-0.041140253128413,False,0.0890468643337988,True,tumor-cell-expressed,not-TME-dominated-weak,0.8296999999999999,0.7450980392156863,3.9682,0.6855123674911661,0.6961130742049471,0.6148409893992932,0.7455830388692579,24.0478,0.0598149690791802,False,False,45,0.0,1.0,False,,0,0,0,False,False,False,False,
NHLRC2,-0.944787981021584,-0.6991125894540118,0.0001789963981145,0.7777777777777778,0.5840407470288624,False,pan-glioma-dep,0.0,0,,,False,,-0.0395365714594589,False,0.0399496073255279,True,tumor-cell-expressed,not-TME-dominated-weak,0.2798,0.2418300653594771,1.3679,0.5759717314487632,0.7632508833922261,0.8056537102473498,0.1590106007067138,10.1991,0.2510517424730271,False,False,56,0.0,1.0,False,,0,0,0,False,False,False,False,
FRS2,-0.3765045054597337,-0.6942624394469267,0.000276407340337,0.2361111111111111,0.0950764006791171,False,subset-dep,0.0,0,,,False,,-0.0089654307500054,False,0.0749708472511073,True,tumor-cell-expressed,not-TME-dominated-weak,0.9647,0.7124183006535948,3.5559,0.5936395759717314,0.8515901060070672,0.7491166077738516,0.1802120141342755,15.1507,0.2228107471396909,False,False,17,0.0,1.0,False,,0,0,0,False,False,False,False,
CCT6A,-1.8334211908788391,-0.6822496045393389,1.582538515850566e-06,1.0,0.99830220713073,True,pan-glioma-dep,0.0,0,,,False,,0.2553605487008751,False,0.8335029595622953,True,tumor-cell-expressed,confirmed-malignant-enriched,1.8480499999999995,0.9869281045751634,7.5933,0.1908127208480565,0.2014134275618374,0.1378091872791519,0.2332155477031802,125.139,0.1958706324939917,False,False,72,0.25,1.0,False,,0,0,0,False,False,False,False,
ALG1,-0.9999628164831864,-0.6772558112775787,1.1122660899755931e-06,0.9583333333333334,0.8455008488964346,True,pan-glioma-dep,0.0,0,,,False,,-0.0050169302199557,False,0.0517839704088161,True,tumor-cell-expressed,not-TME-dominated-weak,1.69895,0.954248366013072,4.4868,0.7714958775029447,0.8268551236749117,0.823321554770318,0.6643109540636043,8.80251,0.0743940001972073,False,False,69,0.0,1.0,False,,0,0,0,False,False,False,False,
CDC25B,-0.4701731769248867,-0.6751937536941661,0.0009101535312802,0.3888888888888889,0.1952461799660441,False,subset-dep,0.0,0,,,False,,0.0076700035182968,False,0.1319291234189827,True,tumor-cell-expressed,not-TME-dominated-weak,1.06365,0.7189542483660131,5.575,0.1460541813898704,0.1448763250883392,0.1060070671378091,0.1872791519434629,143.63299999999998,0.2170127009193319,False,False,28,1.0,1.0,False,,80,21,0,False,False,True,False,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Cytoplasm, cytoskeleton, spindle pole"
TIMM9,-0.6556744309003568,-0.6722212290622106,0.0009904913542433,0.8055555555555556,0.565365025466893,True,pan-glioma-dep,0.0,0,,,False,,-0.011367040669791,False,0.1944107596904768,True,tumor-cell-expressed,not-TME-dominated-weak,1.2287999999999997,0.954248366013072,5.7255,0.5606595995288575,0.4805653710247349,0.4982332155477031,0.7031802120141343,31.3881,0.0685022436848599,False,False,58,0.25,1.0,False,,0,0,0,False,False,False,False,
KLF16,-0.4680504941011689,-0.6721502828712506,6.547472685788573e-06,0.4583333333333333,0.2190152801358234,False,subset-dep,0.0,0,,,False,,-0.0099336012902291,False,0.0374107141748218,True,tumor-cell-expressed,not-TME-dominated-weak,-0.0701,0.0522875816993464,3.5547,0.6442873969375736,0.7137809187279152,0.3604240282685512,0.8586572438162544,47.6576,0.0290519172388019,False,False,33,0.0,1.0,False,,0,0,0,False,False,False,False,
KIF2C,-0.4449973815699276,-0.663959221805598,8.396700050542588e-05,0.3333333333333333,0.1774193548387097,False,subset-dep,0.4630924592987127,3,CDKN2A_del,TSG-loss,True,CDKN2A;CDKN2B,-0.0338988041723236,False,0.0548026892951098,True,tumor-cell-expressed,not-TME-dominated-weak,5.1898,1.0,3.5947,0.9481743227326266,0.950530035335689,0.9575971731448764,0.9363957597173144,0.983871,0.0072299685806495,False,False,24,0.6,1.0,False,,0,0,0,False,False,False,False,
GOLT1B,-0.4632648287298778,-0.6618797149662767,1.0282070162727385e-06,0.3888888888888889,0.1876061120543293,False,subset-dep,0.0,0,,,False,,-0.0348065954848099,False,0.1425123116439289,True,tumor-cell-expressed,not-TME-dominated-weak,1.0070500000000004,0.8235294117647058,4.7148,0.3404004711425206,0.4628975265017667,0.3745583038869258,0.1837455830388692,45.3241,0.2170683613428119,False,False,28,0.0,1.0,False,,0,0,0,False,False,False,False,
TCP1,-2.0684737677024594,-0.6511043905091738,2.6763756313915193e-05,1.0,1.0,True,pan-glioma-dep,0.0,0,,,False,,0.0184635344175909,False,0.4762813034345616,True,tumor-cell-expressed,not-TME-dominated-weak,0.7675000000000001,0.6601307189542484,6.9589,0.2579505300353357,0.1837455830388692,0.1625441696113074,0.4275618374558304,109.377,0.1206678296243718,False,False,72,0.25,1.0,False,,0,0,0,False,False,False,False,
PSMG4,-1.571708010303134,-0.6319311617614669,5.21748828229199e-05,0.9861111111111112,0.9422750424448216,True,pan-glioma-dep,0.0,0,,,False,,0.0245552478883183,False,0.1231990006544336,True,tumor-cell-expressed,not-TME-dominated-weak,0.0284500000000003,0.1699346405228758,3.9645,0.7373380447585394,0.911660777385159,0.8869257950530035,0.4134275618374559,6.49483,0.1248098102580763,False,False,71,0.0,1.0,False,,0,0,0,False,False,False,False,
PDCL3,-0.4798587878892697,-0.6303712354745759,0.0001930734965081,0.4722222222222222,0.2283531409168081,False,subset-dep,0.0,0,,,False,,-0.0931543960519029,False,0.1421329497789951,True,tumor-cell-expressed,not-TME-dominated-weak,1.3030999999999997,0.9607843137254902,4.6502,0.7467608951707891,0.6254416961130742,0.6961130742049471,0.9187279151943464,18.9919,0.016278960613101,False,False,34,0.25,1.0,False,,0,0,0,False,False,False,False,
BRAT1,-0.6061829202726846,-0.6287922511287688,0.0002145980940771,0.6388888888888888,0.3684210526315789,False,pan-glioma-dep,0.0,0,,,False,,0.037715348811545,False,0.1389983785810455,True,tumor-cell-expressed,not-TME-dominated-weak,1.4957000000000005,0.9084967320261438,5.3078,0.4075382803297998,0.4098939929328622,0.2720848056537103,0.5406360424028269,72.6772,0.1070635589373101,False,False,46,0.0,1.0,False,,0,0,0,False,False,False,False,
FAM50A,-0.8286187150151437,-0.6249108970387537,6.684564848194309e-05,0.6805555555555556,0.4108658743633276,False,pan-glioma-dep,0.0,0,,,False,,-0.1289103802685313,False,0.2397008012329967,True,tumor-cell-expressed,not-TME-dominated-weak,0.4890999999999996,0.4640522875816993,6.1347,0.1648998822143698,0.1519434628975264,0.1130742049469964,0.2296819787985865,131.86700000000002,0.1978673461042238,False,False,49,0.25,1.0,False,,0,0,0,False,False,False,False,
HAUS3,-1.3271755234919438,-0.6224872137734083,0.0006005949618802,1.0,0.9881154499151104,True,pan-glioma-dep,0.0,0,,,False,,-0.0556318308483229,False,0.0488426768354691,True,tumor-cell-expressed,not-TME-dominated-weak,0.9858,0.7254901960784313,2.6185,0.7314487632508834,0.88339222614841,0.8127208480565371,0.4982332155477031,9.67628,,False,False,72,0.0,1.0,False,,0,0,0,False,False,False,False,
KIF18A,-1.6780320022600173,-0.6203374674713164,3.136467534086684e-05,0.9722222222222222,0.8853989813242784,True,pan-glioma-dep,0.0,0,,,False,,-0.046648256235933,False,0.0228179544667327,True,tumor-cell-expressed,not-TME-dominated-weak,5.363300000000001,0.9934640522875816,1.3283,0.9587750294464076,0.9575971731448764,0.9752650176678446,0.9434628975265018,0.275843,0.004538727956035,False,False,70,0.6,1.0,False,,0,0,0,False,False,False,False,
SYS1,-1.4065174589378338,-0.6136104075734583,1.573020371829095e-05,1.0,0.8947368421052632,True,pan-glioma-dep,0.0,0,,,False,,-0.0410260855599606,False,0.1135500042990481,True,tumor-cell-expressed,not-TME-dominated-weak,1.8159,0.9934640522875816,4.9924,0.8244994110718492,0.6819787985865724,0.8021201413427562,0.9893992932862192,10.1998,0.0004459950789294,False,False,72,0.0,1.0,False,,0,0,0,False,False,False,False,
POP7,-0.9646008092210584,-0.6131054481187495,1.9963030523783152e-05,0.9583333333333334,0.8242784380305602,True,pan-glioma-dep,0.0,0,,,False,,0.146489438312198,False,0.3362075268468326,True,tumor-cell-expressed,not-TME-dominated-weak,1.1136999999999997,0.8888888888888888,6.0005,0.4452296819787986,0.4593639575971732,0.2332155477031802,0.6431095406360424,80.3228,0.078283763036735,False,False,69,0.0,1.0,False,,0,0,0,False,False,False,False,
SNRPB2,-1.0105966525891872,-0.6122982160762201,0.0008945583554646,0.8333333333333334,0.6604414261460102,False,pan-glioma-dep,0.3234092958090481,1,TP53_mut,TSG-loss,True,TP53,-0.1629889989082462,False,0.6523119835086986,True,tumor-cell-expressed,not-TME-dominated-weak,1.7491000000000003,0.9869281045751634,6.0555,0.6042402826855123,0.5088339222614842,0.5971731448763251,0.7067137809187279,24.9601,0.0680865352002617,False,False,60,0.25,1.0,False,,0,0,0,False,False,False,False,
SEC62,-0.4975633719378044,-0.6121021982941505,0.0004170872274831,0.3888888888888889,0.2495755517826825,False,subset-dep,0.0,0,,,False,,-0.3014965371674154,True,0.8387493743691272,True,TME-dominated,TME-dominated,0.3769999999999998,0.5294117647058824,6.0266,0.1849234393404004,0.3321554770318021,0.2084805653710247,0.0141342756183745,86.3487,0.6101539348739898,True,False,28,0.0,1.0,False,,0,0,0,False,False,False,False,
LYRM4,-1.427190300443157,-0.6114622996476407,6.547472685788573e-06,1.0,0.9753820033955858,True,pan-glioma-dep,0.418682366907075,1,NF1_loss,TSG-loss,True,NF1,-0.0578536584586563,False,0.163502326264695,True,tumor-cell-expressed,not-TME-dominated-weak,1.2878499999999995,0.9673202614379084,5.0514,0.673733804475854,0.9187279151943464,0.8975265017667844,0.2049469964664311,6.16095,0.2084622748925127,False,False,72,0.25,1.0,False,,0,0,0,False,False,False,False,
C19orf53,-0.7840804425191616,-0.6089897855810361,0.0005265252377928,0.8055555555555556,0.6434634974533107,False,pan-glioma-dep,0.3351773051298306,1,CDKN2A_del,TSG-loss,True,CDKN2A,0.040236429147264,False,0.7787197468134418,True,tumor-cell-expressed,not-TME-dominated-weak,1.3206499999999997,0.9869281045751634,7.7741,0.3404004711425206,0.1696113074204946,0.1978798586572437,0.6537102473498233,94.7882,0.0751274183330602,False,False,58,0.25,1.0,False,,0,0,0,False,False,False,False,
TAF1C,-1.2616961029126992,-0.608097497604393,3.6226462137024153e-06,1.0,0.965195246179966,True,pan-glioma-dep,0.3129215850957031,1,PTEN_loss,TSG-loss,True,PTEN,-0.0857961095239068,False,0.0590614247596078,True,tumor-cell-expressed,not-TME-dominated-weak,-0.0727999999999999,0.1830065359477124,4.5098,0.3745583038869258,0.2579505300353356,0.2897526501766784,0.5759717314487632,68.9342,0.0951124172231071,False,False,72,0.0,1.0,False,,0,0,0,False,False,False,False,
SBDS,-2.067272358907323,-0.606074595603637,0.0002138365785471,1.0,0.9898132427843804,True,pan-glioma-dep,0.0,0,,,False,,-0.1910592426459036,False,0.6545866338812631,True,tumor-cell-expressed,not-TME-dominated-weak,1.0169000000000006,0.915032679738562,7.2443,0.2332155477031802,0.0812720848056537,0.0459363957597173,0.5724381625441697,271.857,0.0968724753257597,True,True,72,0.0,1.0,False,,0,0,0,False,False,False,False,
KRTAP21-1,-0.4631127160104213,-0.6038714496908402,0.019683924464739,0.2083333333333333,0.0764006791171477,False,subset-dep,0.0,0,,,False,,,,,False,tumor-cell-expressed,not-measured,0.0,0.0261437908496732,-9.9658,0.8286219081272085,0.9929328621908128,0.9946996466431096,0.4982332155477031,0.0,,False,False,15,0.0,1.0,False,,0,0,0,False,False,False,False,
INTS12,-0.6355423272050373,-0.5989213179668159,0.0001199106503907,0.6805555555555556,0.4881154499151103,False,pan-glioma-dep,0.0,0,,,False,,0.0167925288680389,False,0.1054581513386785,True,tumor-cell-expressed,not-TME-dominated-weak,1.7746000000000004,0.9869281045751634,4.7945,0.7714958775029447,0.8056537102473498,0.833922261484099,0.6749116607773852,8.32143,0.0732696598014282,False,False,49,0.0,1.0,False,,0,0,0,False,False,False,False,
DDX51,-1.0554935135070125,-0.5988291793419375,0.0009331948701519,0.9861111111111112,0.9363327674023768,True,pan-glioma-dep,0.3419631095468595,1,PTEN_loss,TSG-loss,True,PTEN,0.0049123440677237,False,0.0537218309135487,True,tumor-cell-expressed,not-TME-dominated-weak,-0.2549000000000001,0.0261437908496732,3.6497,0.519434628975265,0.657243816254417,0.3533568904593639,0.5477031802120141,48.1957,0.1042561758376178,False,False,71,0.0,1.0,False,,0,0,0,False,False,False,False,
DDX55,-1.1707941121116738,-0.5946785025536105,2.638499631466406e-05,0.9861111111111112,0.9558573853989814,True,pan-glioma-dep,0.0,0,,,False,,0.009427871704907,False,0.0854616718551705,True,tumor-cell-expressed,not-TME-dominated-weak,0.5295000000000001,0.477124183006536,3.6589,0.5276796230859836,0.6996466431095406,0.5477031802120141,0.3356890459363958,27.6176,0.1468632160346454,False,False,71,0.0,1.0,False,,0,0,0,False,False,False,False,
