gene,rank_full,expert_composite,novelty_tier,novelty_corrected,is_dependency_poscontrol,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability
LYRM4,52,0.5061165082381652,novel,1.0,False,0.8303886925795053,1.0,0.0246179966044142,0.2729519796380374,0.25,0.3669064748201439,1.0,0.5936395759717314,0.9673202614379084,0.673733804475854,0.25,1.0,0.9151943462897528,0.0246179966044142,0.2614759898190187,0.6834532374100719,0.7804799187048199,0.673733804475854,0.25
BRAT1,53,0.5051913901494849,novel,1.0,False,0.8586572438162544,0.6388888888888888,0.631578947368421,0.0,0.0,0.9316546762589928,1.0,0.7102473498233216,0.9084967320261438,0.4075382803297998,0.0,1.0,0.7487730663525716,0.631578947368421,0.0,0.9658273381294964,0.8093720409247327,0.4075382803297998,0.0
PTPMT1,54,0.5038879734200147,novel,1.0,False,0.5759717314487632,0.7222222222222222,0.4601018675721562,0.2951960390512154,0.25,0.9136690647482014,1.0,0.5724381625441696,0.9411764705882352,0.6195524146054181,0.0,1.0,0.6490969768354927,0.4601018675721562,0.2725980195256077,0.9568345323741008,0.7568073165662024,0.6195524146054181,0.0
CYFIP1,55,0.5034721693679708,novel,1.0,False,0.7597173144876325,0.375,0.8438030560271648,0.0,0.0,0.0755395683453237,0.0,0.9293286219081272,0.9869281045751634,0.4016489988221437,0.6,1.0,0.5673586572438163,0.8438030560271648,0.0,0.0377697841726618,0.9581283632416452,0.4016489988221437,0.6
VHL,56,0.5033591228959924,has_sm_chemistry,0.5,False,0.0318021201413427,0.8472222222222222,0.267402376910017,0.0,0.0,0.7697841726618705,1.0,0.6042402826855123,0.8300653594771242,0.6183745583038869,0.8,0.0,0.4395121711817825,0.267402376910017,0.0,0.8848920863309353,0.7171528210813183,0.6183745583038869,0.8
SKA1,57,0.5021126443084594,novel,1.0,False,0.6113074204946997,0.7361111111111112,0.3811544991511035,0.0,0.0,0.5755395683453237,1.0,0.9893992932862192,0.9934640522875816,0.9646643109540636,0.0,1.0,0.6737092658029054,0.3811544991511035,0.0,0.7877697841726619,0.9914316727869004,0.9646643109540636,0.0
MAK16,58,0.5012887540726096,novel,1.0,False,0.7102473498233216,1.0,0.0,0.0,0.0,0.7913669064748201,1.0,0.6819787985865724,0.9477124183006536,0.8374558303886926,0.25,1.0,0.8551236749116609,0.0,0.0,0.89568345323741,0.814845608443613,0.8374558303886926,0.25
SLC35B2,59,0.49937353554956304,novel,1.0,False,0.4664310954063604,0.3472222222222222,0.7750424448217318,0.3921665031335098,0.25,0.6223021582733813,1.0,0.8939929328621908,0.9934640522875816,0.5700824499411072,0.0,1.0,0.4068266588142913,0.7750424448217318,0.3210832515667549,0.8111510791366907,0.9437284925748862,0.5700824499411072,0.0
FRS2,60,0.49688629332051504,novel,1.0,False,0.8975265017667845,0.2361111111111111,0.9049235993208828,0.0,0.0,0.6079136690647482,1.0,0.381625441696113,0.7124183006535948,0.5936395759717314,0.0,1.0,0.5668188064389478,0.9049235993208828,0.0,0.8039568345323741,0.5470218711748539,0.5936395759717314,0.0
EAF1,61,0.4966784583131471,novel,1.0,False,0.9045936395759716,0.625,0.6400679117147707,0.0,0.0,0.4172661870503597,1.0,0.3321554770318021,0.7450980392156863,0.6855123674911661,0.0,1.0,0.7647968197879859,0.6400679117147707,0.0,0.7086330935251799,0.5386267581237442,0.6855123674911661,0.0
SURF4,62,0.49606619291078163,novel,1.0,False,0.950530035335689,0.2916666666666667,0.9312393887945672,0.0,0.0,0.2877697841726618,1.0,0.9045936395759716,0.9934640522875816,0.3510011778563015,0.0,1.0,0.6210983510011778,0.9312393887945672,0.0,0.6438848920863309,0.9490288459317766,0.3510011778563015,0.0
TARS1,63,0.4955143223604446,novel,1.0,False,0.2473498233215547,1.0,0.0,0.0,0.0,0.6870503597122302,1.0,0.6431095406360424,0.934640522875817,0.5818610129564193,0.8,1.0,0.6236749116607774,0.0,0.0,0.8435251798561151,0.7888750317559297,0.5818610129564193,0.8
CHMP7,64,0.4944132295228732,novel,1.0,False,0.7067137809187279,0.7638888888888888,0.4524617996604414,0.363451500654135,0.25,0.6330935251798561,1.0,0.4098939929328622,0.7908496732026143,0.5653710247349824,0.0,1.0,0.7353013349038084,0.4524617996604414,0.3067257503270675,0.8165467625899281,0.6003718330677383,0.5653710247349824,0.0
ALG1,65,0.4937351688826788,novel,1.0,False,0.8904593639575972,0.9583333333333334,0.1544991511035653,0.0,0.0,0.6546762589928058,1.0,0.773851590106007,0.954248366013072,0.7714958775029447,0.0,1.0,0.9243963486454652,0.1544991511035653,0.0,0.8273381294964028,0.8640499780595394,0.7714958775029447,0.0
VBP1,66,0.4936935154705441,novel,1.0,False,0.3215547703180212,0.7916666666666666,0.4032258064516129,0.4176503122073334,0.25,0.935251798561151,1.0,0.4911660777385159,0.9738562091503268,0.414605418138987,0.25,1.0,0.5566107184923439,0.4032258064516129,0.3338251561036667,0.9676258992805756,0.7325111434444214,0.414605418138987,0.25
ACTR3,67,0.4927554616102219,novel,1.0,False,0.4734982332155477,0.7361111111111112,0.4015280135823429,0.2277066271946903,0.75,0.118705035971223,0.0,0.901060070671378,0.9869281045751634,0.4004711425206124,0.6,1.0,0.6048046721633294,0.4015280135823429,0.4888533135973451,0.0593525179856115,0.9439940876232708,0.4004711425206124,0.6
ZNF593,68,0.4924993052695504,novel,1.0,False,0.0530035335689045,0.5555555555555556,0.6069609507640068,0.0,0.0,0.9280575539568344,1.0,0.5441696113074205,0.954248366013072,0.931095406360424,0.25,1.0,0.3042795445622301,0.6069609507640068,0.0,0.9640287769784172,0.7492089886602462,0.931095406360424,0.25
GPX4,69,0.49182146637864727,novel,1.0,False,0.939929328621908,0.8888888888888888,0.2945670628183361,0.0,0.0,0.3093525179856115,1.0,0.2968197879858657,0.8627450980392157,0.0895170789163722,0.6,1.0,0.9144091087553984,0.2945670628183361,0.0,0.6546762589928058,0.5797824430125407,0.0895170789163722,0.6
NOC3L,70,0.4894362282081456,novel,1.0,False,0.508833922261484,0.9166666666666666,0.2258064516129032,0.0,0.0,0.4784172661870504,1.0,0.5901060070671378,0.9673202614379084,0.8492343934040046,0.25,0.0,0.7127502944640753,0.2258064516129032,0.0,0.7392086330935252,0.7787131342525231,0.8492343934040046,0.25
H3C8,71,0.4863402025038994,novel,1.0,False,0.4275618374558304,0.7222222222222222,0.5144312393887946,0.0,0.0,0.6798561151079137,1.0,0.9752650176678446,0.9869281045751634,0.7891637220259128,0.0,1.0,0.5748920298390263,0.5144312393887946,0.0,0.8399280575539568,0.981096561121504,0.7891637220259128,0.0
PTPN11,72,0.4862373251508597,has_sm_chemistry,0.5,True,0.469964664310954,0.9166666666666666,0.2597623089983022,0.0,0.0,0.2913669064748201,1.0,0.0918727915194346,0.4313725490196078,0.1978798586572438,1.0,0.0,0.6933156654888104,0.2597623089983022,0.0,0.64568345323741,0.2616226702695212,0.1978798586572438,1.0
